Name,Bptf,Cbfa2t3h,Erg,Ets1,Ets2,Etv6,Fli1,Gata1,Gata2,Gata3,Gfi1b,Hhex,Hoxa5,Hoxa9,Hoxb4,Ikzf1,Ldb1,Lmo2,Lyl1,Meis1,Mitf,Myb,Nfe2,Nkx2,Notch,Pbx1,Prdm16,Runx1,Smarcc1,Tal1,Tcf7
GMP_154,0.750773975,0.705558298,0.717254509,0,0.743186864,0.725901769,0.761906142,0,0.347584365,0,0,0.770053525,0,0.683110454,0,0.822281527,0.66464082,0.76642453,0.707537699,0.694501312,0,0.768925545,0.81679808,0.715168596,0,0.747530963,0,0.700104789,0.750030518,0.811837741,0
MPP_015,0.737863117,0.793594059,0.748335067,0.334705627,0.773862232,0.827755027,0.731268241,0,0.75603187,0,0,0,0,0.803801892,0,0.848917344,0,0.882037036,0,0.783711568,0,0.822605016,0.797184803,0.760727076,0.710056825,0,0,0.59567239,0,0.461297681,0
MPP_026,0.895867707,0,0.87389858,0,0,0.855521624,0.775727833,0,0,0,0.857428125,0,0,0.790949003,0.805952424,0.910860602,0.806958109,0.926769012,0.827951104,0.800216152,0,0.836944888,0.835793661,0.632436245,0,0.706023557,0,0.629086669,0,0,0
MPP_138,0.889597348,0.757442525,0.699015409,0.757165062,0,0.650622527,0.758768365,0,0.663441483,0,0,0,0.870031952,0.833742289,0,0.82226485,0.715164889,0.724859024,0.77927714,0.792487952,0,0.78350526,0.773340567,0,0.755298713,0.406227114,0,0.731316157,0.67432224,0,0
HSC34_304,0.82744399,0.646816404,0.790905603,0.747826639,0.682194603,0.70812024,0.746002002,0,0,0.664712836,0,0.810505604,0,0.718777922,0.399679699,0.805963698,0.679122483,0.790353412,0.716382229,0.726222338,0,0.739189047,0.768389166,0.657879451,0.627058339,0.67129559,0,0.625929325,0.827063537,0,0
MPP_110,0.873933429,0.787609318,0.843186086,0.764814515,0,0.794317198,0.836693407,0,0.686958816,0,0,0,0,0.752487711,0,0.869446624,0.743008782,0.679903637,0.810463732,0.850522866,0,0.795656631,0.836322206,0.742489699,0.799088604,0,0,0.727382041,0.657766975,0.347634085,0
HSC34_398,0.828335389,0,0.774135463,0.837372368,0.843284777,0.919813207,0.807662151,0,0.716223857,0,0,0,0,0,0,0.929202055,0.790017843,0.866805286,0.860955454,0.842659778,0,0.820820864,0.825637459,0.80306937,0.69400541,0.821203295,0,0.730680328,0.916166897,0,0
MPP_192,0.821706627,0,0.810423291,0.784538757,0,0.610664136,0.762843268,0,0.684026524,0,0.808496286,0.759386868,0,0.652266702,0,0.727123747,0.703839223,0.844375657,0.582188783,0.726273016,0,0.774276508,0.828714212,0,0.825110356,0,0,0.670753357,0.733350956,0.717559979,0
MPP_149,0.731001224,0.352934908,0.677651029,0.709324462,0.281508912,0.811765547,0.698082111,0.437354187,0,0.730631535,0.31971212,0.770266473,0,0.73388509,0.218090312,0.678531903,0.687329284,0.763044478,0.667344833,0.673265593,0,0.694660416,0.759937935,0.734054391,0.430850736,0.743853512,0,0.49402642,0.753899295,0.303835216,0.361204572
CMP_172,0.861537544,0,0.868295854,0,0.790430403,0.814274292,0.864072903,0,0,0.823111854,0,0,0,0,0,0.791288743,0.831685974,0.806981114,0.822399636,0.755250218,0,0.891308654,0.875173247,0,0,0,0,0.840212505,0.922263286,0.795458174,0
LMPP_191,0.811869502,0.854889684,0.714081896,0.857517654,0,0.832938025,0.762253793,0,0.652956479,0,0,0.865002534,0,0.752182757,0,0.868795148,0.720427381,0.775634683,0.828984309,0.765160372,0,0.813102286,0.806586456,0.72217054,0.820692824,0,0,0.774479128,0.888136965,0.79316372,0
LMPP_175,0.889048366,0.830654249,0,0,0.80878899,0.817042316,0.75723145,0,0.753926536,0,0,0,0,0.763385089,0,0.921397445,0,0.862095001,0.780238578,0.840652919,0,0.685425752,0.853567824,0.79600185,0.755510188,0,0,0.829074512,0.861434225,0,0
ST-HSC_179,0.716503099,0.718785437,0.686936233,0,0.723264671,0.746670338,0.672189511,0,0.697312899,0.808813417,0,0,0,0.677967525,0,0.740774684,0.709717143,0.775137163,0.703972309,0.727482272,0,0.866180806,0.699260847,0.738233038,0.56425044,0,0,0.663039329,0.688470667,0.734475356,0
