Name,Cell_type,Bptf,Cbfa2t3h,Cdkn2a,Csf1r,Dnmt3a,Egfl7,Eif2b1,Erg,Ets1,Ets2,Etv6,Fli1,Gata1,Gata2,Gata3,Gfi1,Gfi1b,Hhex,Hoxa5,Hoxa9,Hoxb4,Ikzf1,Itga2b,Kit,Ldb1,Lmo2,Lyl1,Mecom,Meis1,Mitf,Mpl,Myb,Nfe2,Nkx2.3,Notch,Pbx1,Polr2a,Prdm16,Procr,Runx1,Sfpi1,Sh2b3,Smarcc1,Tal1,Tcf7,Tet2,Ubc,Vwf
CMP_033,CMP,18.86220309,19.11710231,40,40,40,40,18.22410165,40,40,19.47920733,40,18.85908401,40,17.40664556,40,40,16.76439914,40,40,40,19.46966878,17.70654919,17.19541672,15.6814195,18.87695269,17.8279719,40,40,17.80264377,40,40,15.72292926,17.27562914,40,40,40,20.88392698,40,40,23.24375476,40,40,17.52966759,17.82807676,40,40,14.74413392,40
CMP_034,CMP,17.35589519,17.06277633,40,40,40,40,17.21755703,18.27315164,40,18.24820941,17.49146052,14.21974267,18.69970506,17.98331903,40,40,18.11042633,17.74023763,40,40,40,19.54500809,16.62522881,16.76773171,17.6724602,16.29594836,17.33118424,40,15.06099081,19.22809847,17.49213756,18.03695278,16.85920415,40,40,20.11176182,18.12770881,40,40,20.5468566,19.90568342,40,16.56354629,17.83063745,40,18.32060691,13.97491834,20.01893026
CMP_035,CMP,17.13757622,17.60889115,40,40,17.93416029,40,19.54376346,17.31589148,40,17.90573234,20.21787509,17.52597239,40,20.50063857,17.96095321,40,20.58423432,24.4669802,40,40,40,17.14107946,40,16.63530324,19.63347704,17.62831498,17.61773414,40,16.83191815,19.55958406,16.70221285,17.02527162,17.25187852,19.39513116,40,40,18.68070181,40,40,22.38086037,17.76326963,40,17.44529629,40,40,18.82284954,14.56152016,40
CMP_036,CMP,18.99822559,18.16627382,40,40,40,40,40,40,40,40,18.50905655,17.08313891,17.80569053,19.1273672,40,40,19.25652355,18.27757734,40,40,40,18.82494862,18.32299388,16.16709413,19.4881073,17.85181476,40,40,16.9075202,40,40,16.18248002,16.89258589,40,40,20.36768507,40,40,40,21.67626919,20.76264888,40,18.192781,17.9460665,40,18.67582904,13.89622148,40
CMP_037,CMP,16.30462639,19.24186222,40,40,17.08204787,40,16.6824272,19.04334055,40,18.49127284,17.52678835,14.56554336,40,19.30362534,17.03226005,40,17.31940248,40,40,19.47561093,40,18.17160218,17.96669728,15.29918378,18.49457946,16.43186125,18.2708634,18.37491723,14.04355874,40,16.19258253,16.36786645,16.94711892,19.23133988,40,18.10780899,19.54540734,40,40,22.04523302,17.66987829,40,16.2304832,18.82227689,40,18.18460545,13.48923949,20.16241224
CMP_038,CMP,17.75835082,17.54751544,40,40,18.46075068,40,17.72885054,17.64707618,40,40,17.53288729,13.93679539,18.01098437,19.35418969,40,40,16.95156712,16.94459747,18.34577072,20.02909295,40,40,16.57924515,16.82137615,19.23203887,17.51001989,17.41550209,40,15.32351102,17.74817592,17.01253169,17.12317873,17.04983159,40,26.37236139,16.63594748,17.99741006,40,40,21.79186473,40,40,17.16647448,20.09590172,40,40,15.41858662,18.62999091
CMP_039,CMP,18.7371366,19.16355179,40,40,16.68514963,20.06105961,18.29295241,19.0175066,40,18.1378449,18.48725812,15.54731808,40,20.47232754,40,19.15749075,40,40,40,20.21273987,40,17.27730745,19.17559935,15.60627192,20.72626069,16.23887805,15.83079523,40,14.90148541,40,17.38591137,16.99152501,17.37704384,40,40,20.03770972,18.94887932,40,40,21.76933376,16.27285723,40,17.14763021,40,40,18.2515908,15.0826248,40
CMP_040,CMP,17.55124808,17.86452214,40,40,40,20.46918021,18.55283317,40,40,40,18.5814177,40,18.91026125,17.83160238,40,40,16.88050124,18.39361899,40,40,40,17.31648728,40,16.17151057,18.35231451,40,18.80811505,40,40,19.56437756,40,16.195586,16.70340385,40,40,19.20604015,21.97564242,40,40,26.17654164,19.0286365,40,19.16757933,40,40,20.37585725,15.11216004,40
CMP_041,CMP,17.21890295,17.34998094,40,40,18.32789511,19.16088386,19.26489384,17.78818303,40,19.90218626,18.37768767,15.85663204,40,20.17853451,40,40,19.44857504,18.71798601,40,20.27707095,40,17.48484164,40,15.68217174,40,16.78591744,16.25843314,40,16.66028243,40,18.85093753,16.74097832,17.4324856,40,40,20.04254667,19.32444266,40,40,21.86529097,16.71478713,40,18.72721393,40,40,17.65125523,13.90591529,40
CMP_042,CMP,17.67611018,17.37986196,40,40,17.32893946,40,19.70068612,40,40,40,19.31156262,17.77340773,40,21.07008314,40,40,40,19.04195671,40,18.90290336,40,17.2711628,40,16.48959812,40,17.61611583,16.59753523,40,16.72525086,40,40,17.10294656,17.13199883,40,40,40,19.5706764,40,40,21.52606328,16.57707627,40,17.34979546,40,40,20.42539669,14.9410419,40
CMP_043,CMP,16.6046363,40,40,20.70376145,18.10524688,20.1257844,17.38869822,19.17179094,20.67960595,40,17.77292152,16.93214316,40,40,18.80319007,40,19.03332379,40,17.72792503,20.63965719,40,17.47679516,40,16.61254435,40,16.41628307,15.86861601,40,16.01196359,40,40,16.66332847,16.78331856,40,23.39164342,21.78013468,18.90871573,40,40,21.82422581,16.36968348,21.51905347,16.96161609,40,40,19.33714484,13.94348567,40
CMP_044,CMP,17.42322052,17.48081759,40,40,19.0935916,19.65078014,18.16875826,19.65405875,40,19.85548137,17.46545374,17.15756058,40,18.80549483,40,40,17.73914261,40,40,20.76546187,19.8299813,18.59358968,17.22183914,16.05083056,40,18.1230515,18.44114407,40,16.86243424,40,40,17.14124963,16.41996004,40,40,18.51097505,19.03461343,19.32328413,40,21.72880215,20.67579029,40,17.33707794,19.2142661,40,21.15156851,15.80200566,40
CMP_045,CMP,19.73566821,40,40,40,18.95864569,40,18.41059035,40,40,18.94240176,18.40651644,40,18.22275167,18.58630261,40,40,18.16770261,40,40,21.63809633,40,18.56684631,40,17.54275565,17.91212886,40,40,40,40,40,40,15.91840426,17.60032828,40,40,24.58602312,20.09486633,40,40,22.5627434,20.7010396,40,18.62761342,19.14045355,40,40,14.73303696,40
CMP_046,CMP,19.37454817,18.23790383,40,40,19.02754485,40,17.6503595,18.91257098,40,19.47037035,40,16.99184752,40,19.20307473,40,40,19.85415424,40,40,40,40,17.7405197,19.43254794,17.01676323,20.02086731,19.18614838,19.19757492,40,17.45130569,40,40,16.37700127,17.88806491,40,40,40,20.35711299,40,40,23.44210098,18.28179628,40,17.51802546,17.93752114,40,40,15.6996047,40
CMP_047,CMP,17.79963205,20.37846173,40,40,17.45751278,40,19.73822211,19.05398533,40,40,20.55147933,16.9381547,19.13855577,21.88974837,18.21394171,40,17.61067172,40,40,20.69422168,40,18.12807082,40,17.00597764,18.55294729,19.64173313,19.16009428,40,19.22408989,40,40,15.82696311,18.12623311,40,40,19.65283753,40,40,40,22.42042578,20.98581906,40,18.17293961,40,40,21.20274928,15.40609681,40
CMP_048,CMP,17.25913363,17.97066745,40,40,16.72933732,40,40,18.62575045,40,19.65693795,19.71003076,15.69586381,18.22901837,19.77045051,40,40,18.51645532,40,40,40,40,17.61962664,40,17.64662444,17.5411235,17.90286138,19.39562424,40,18.41152093,40,40,15.87397299,17.35222316,40,40,40,20.86906945,40,40,22.9812275,19.4239954,40,17.09670299,40,40,21.0827752,15.66900068,40
CMP_049,CMP,17.33962581,17.54449962,40,40,18.69040057,20.58973655,40,40,18.71343205,40,17.557526,16.87746192,40,17.42715927,40,40,40,17.07006334,40,40,40,17.98774012,17.19912064,16.63379239,19.23889823,16.41673163,17.58190552,40,14.76079423,40,18.68407465,16.48528818,16.53155193,40,40,18.85387357,19.98366333,40,40,21.42416686,19.57434377,40,18.90173159,17.48004926,40,20.00088467,14.73010568,40
CMP_050,CMP,15.88991885,19.66659679,40,15.86737538,16.86695779,18.8439242,16.62538385,16.91752356,20.92810992,40,17.44243457,15.31698786,40,40,40,40,40,16.2663909,18.96794772,18.98874884,19.38378256,16.29687367,40,16.20278948,19.60961596,15.35282598,16.40956158,40,16.23697922,19.24089863,40,14.96508042,16.4935549,40,23.69675773,40,17.88294619,40,40,19.64313163,14.85522229,40,15.35358785,40,40,18.57475337,13.10857566,40
CMP_051,CMP,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40
CMP_052,CMP,17.05830305,17.53466996,40,40,18.91684296,40,17.93695163,40,40,19.48616538,17.64241804,15.92163386,40,19.7883954,40,40,25.46284067,40,40,40,40,17.90735467,18.82708725,15.9387731,19.87426534,18.25800323,19.28529283,40,15.79057797,40,17.1951632,17.44497349,16.96757393,40,40,18.38583745,40,40,40,22.01173872,19.0438242,40,18.11396169,17.76184764,40,20.47114683,14.45062859,40
CMP_053,CMP,18.3050502,19.66283118,40,17.53025851,18.97195978,19.86881038,40,40,40,19.64791731,40,40,40,40,17.87098767,40,19.89087004,18.81880338,40,20.45920358,40,17.33274255,40,18.48591403,19.60885788,19.18019595,16.86764752,40,40,40,40,17.53978884,17.85696104,40,23.92121426,19.52959662,18.76164008,40,40,23.54522296,17.15368988,40,20.7516111,40,40,40,15.84633851,40
CMP_054,CMP,16.78454784,18.3547235,40,40,17.92134595,40,19.4210967,19.19263816,40,18.53621919,18.95045513,15.56551174,40,25.56903258,40,40,40,40,40,19.44166456,40,40,40,15.69114412,40,17.79796787,16.47253747,40,16.08185414,19.76518251,16.51510727,17.32826917,17.41850466,40,25.20431022,18.88401064,18.93400449,40,40,22.00699143,17.32922241,23.37945837,17.06838111,17.71699219,40,19.0335139,15.95777638,40
CMP_055,CMP,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40
CMP_056,CMP,17.23807726,17.37730058,40,40,18.21719993,19.66536363,19.49318093,40,40,40,20.39424198,40,17.7896864,19.763923,40,40,16.85184868,19.46143492,40,20.8352544,40,18.59105238,20.51753311,16.87313773,17.33163132,17.23890314,17.90256173,40,18.65854644,40,40,15.64947929,17.29591992,40,40,19.51022321,18.94484783,40,40,23.13628773,17.75783714,40,18.34985335,18.50756288,40,40,14.7399858,19.73077928
CMP_057,CMP,17.31174461,19.3472132,40,40,17.85261079,40,18.08315524,40,40,18.53701445,19.1200376,16.66659534,17.6311261,23.0566401,40,40,17.23569305,17.3575001,40,19.74967395,40,16.73463241,40,15.22459934,17.26657972,20.9321018,18.14180131,40,17.3260638,40,40,15.33139358,16.26832904,40,40,40,19.0504368,40,40,22.73643015,19.63225591,40,17.99072152,18.86521665,40,19.33543836,16.56604232,40
CMP_058,CMP,18.410155,18.71341722,40,40,18.24208348,40,40,40,40,40,18.94874796,18.69740777,17.50438675,19.12282346,40,40,17.71647468,40,40,40,40,18.47069231,40,16.09837807,40,40,17.60018207,40,16.15358078,40,40,17.07447289,17.70508172,40,40,24.93896318,20.72391753,40,40,22.85927742,20.0266389,40,18.3609342,40,40,20.11136901,14.00183341,40
CMP_059,CMP,18.57361766,19.56693721,40,40,40,19.03616556,18.68282961,40,40,19.2720954,18.74720575,16.70390571,40,19.84095658,40,40,19.70023511,40,40,20.65398716,40,17.29953246,40,17.48672115,40,21.8876944,19.26456522,40,18.84842432,40,40,16.69405281,18.18009872,40,40,20.28931888,21.24587068,40,40,23.15168005,19.85418649,40,19.54336615,40,40,18.95457397,14.17348801,40
CMP_060,CMP,16.33448416,17.68573148,40,40,17.79908954,18.74001073,19.6199839,17.98332579,40,40,18.05931766,16.4054641,40,21.30488402,40,18.1302284,40,40,40,18.52809242,19.08480769,19.86407339,19.40760337,16.39468655,40,17.84807112,15.2611729,19.507185,17.49088597,40,40,17.49435822,18.38823247,40,40,19.06559258,18.54697362,40,40,23.52446929,16.28029143,40,18.63962761,18.75088623,40,20.08977341,15.08301425,40
CMP_061,CMP,19.15236567,17.08475004,40,40,40,40,19.50301696,18.79576209,40,40,19.2862052,17.13732646,20.78644988,18.68570765,40,40,17.95044662,18.65594262,40,20.8006267,19.0178625,16.43324333,25.44938818,16.20818178,18.12499331,40,40,40,16.68408763,40,40,15.61829725,17.25640695,40,40,20.35192978,21.59383879,40,40,22.23135285,19.54175562,40,19.40491395,17.13428075,40,40,15.26219973,40
